,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dolores Hidalgo Cuna de la Independencia Nacional,21.16,-100.93,60.8,44,5,2.24,MX,1604979105
1,Mar del Plata,-38.0,-57.56,62.01,87,0,3.36,AR,1604979113
2,Ambilobe,-13.2,49.05,80.58,53,52,6.49,MG,1604979115
3,Bambous Virieux,-20.34,57.76,77.0,73,75,10.29,MU,1604979116
4,Albany,42.6,-73.97,51.01,87,20,1.57,US,1604978958
5,Hithadhoo,-0.6,73.08,82.36,78,100,15.57,MV,1604979065
6,Ushuaia,-54.8,-68.3,44.6,84,40,35.57,AR,1604979116
7,Hermanus,-34.42,19.23,48.99,89,19,10.65,ZA,1604979120
8,Grand Gaube,-20.01,57.66,77.0,68,25,10.0,MU,1604979121
9,Vaini,-21.2,-175.2,80.6,78,75,10.29,TO,1604979123
10,Jamestown,42.1,-79.24,57.2,67,1,6.93,US,1604979124
11,Punta Arenas,-53.15,-70.92,46.4,65,75,11.41,CL,1604979125
12,Kudahuvadhoo,2.67,72.89,83.16,73,99,5.97,MV,1604979126
13,Soanierana Ivongo,-16.92,49.58,75.2,87,90,6.93,MG,1604979127
14,Kavieng,-2.57,150.8,83.53,71,83,6.51,PG,1604979128
15,Maniitsoq,65.42,-52.9,18.27,85,65,5.08,GL,1604979129
16,Tual,-5.67,132.75,84.47,71,47,4.29,ID,1604979130
17,Basco,20.45,121.97,78.82,81,61,31.81,PH,1604979132
18,Bengkulu,-3.8,102.27,85.46,62,86,3.53,ID,1604978851
19,Kruisfontein,-34.0,24.73,50.0,91,36,1.01,ZA,1604979134
20,Wau,7.7,28.0,71.85,59,1,2.75,SS,1604979135
21,San Jose,37.34,-121.89,50.0,47,25,5.01,US,1604979026
22,Yeppoon,-23.13,150.73,82.4,39,5,11.41,AU,1604979137
23,Barrow,71.29,-156.79,10.4,78,90,8.05,US,1604979138
24,Atuona,-9.8,-139.03,78.12,70,3,9.93,PF,1604979139
25,Guerrero Negro,27.98,-114.06,62.1,70,0,14.09,MX,1604979140
26,Port Elizabeth,-33.92,25.57,57.2,76,0,9.17,ZA,1604978923
27,Lircay,-12.99,-74.72,51.89,66,91,0.76,PE,1604979143
28,Danielskuil,-28.19,23.54,61.66,45,98,7.47,ZA,1604979144
29,Alamosa,37.47,-105.87,21.2,73,20,10.29,US,1604979145
30,Rikitea,-23.12,-134.97,74.08,79,4,15.73,PF,1604979146
31,Zhangye,38.93,100.45,55.67,25,41,2.44,CN,1604979147
32,College,64.86,-147.8,21.2,85,75,3.36,US,1604979148
33,Djambala,-2.54,14.75,65.91,100,100,2.17,CG,1604979149
34,Lebu,-37.62,-73.65,52.32,90,0,18.52,CL,1604979151
35,Haines Junction,60.75,-137.51,30.2,50,70,5.82,CA,1604979152
36,Kahului,20.89,-156.47,84.2,54,40,24.16,US,1604979105
37,Busselton,-33.65,115.33,66.99,45,0,20.38,AU,1604979154
38,Egvekinot,66.32,-179.17,24.12,98,100,23.98,RU,1604979155
