,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,50.0,71,75,24.16,AR,1604083876
1,Punta de Piedra,7.62,-71.49,89.62,61,6,4.07,VE,1604084491
2,Hithadhoo,-0.6,73.08,83.12,76,78,9.84,MV,1604083859
3,Barrow,71.29,-156.79,19.4,92,90,13.87,US,1604084158
4,Cap Malheureux,-19.98,57.61,68.0,57,0,3.0,MU,1604084494
5,Balkanabat,39.51,54.37,64.83,24,0,11.5,TM,1604084495
6,Constitución,-35.33,-72.42,67.66,53,0,8.03,CL,1604084168
7,Batemans Bay,-35.72,150.18,62.01,96,100,8.88,AU,1604084157
8,Tuktoyaktuk,69.45,-133.04,6.8,84,75,6.93,CA,1604083897
9,Hobart,-42.88,147.33,46.0,93,40,6.93,AU,1604083881
10,Mataura,-46.19,168.86,55.0,97,100,3.0,NZ,1604084141
11,Henties Bay,-22.12,14.28,57.99,82,90,9.04,NA,1604084176
12,Saskylakh,71.92,114.08,-1.91,85,0,6.15,RU,1604083914
13,Rikitea,-23.12,-134.97,75.63,69,0,8.19,PF,1604083877
14,Nikolskoye,59.7,30.79,48.0,93,90,3.06,RU,1604084148
15,Deputatsky,69.3,139.9,3.36,96,100,1.1,RU,1604084163
16,Pevek,69.7,170.31,22.86,94,84,6.46,RU,1604083959
17,Bredasdorp,-34.53,20.04,53.6,62,0,4.7,ZA,1604083887
18,Bo Rai,12.57,102.54,74.7,91,86,1.92,TH,1604084510
19,Ketchikan,55.34,-131.65,44.6,86,40,4.7,US,1604084511
20,Hong Kong,22.29,114.16,75.0,78,66,1.01,HK,1604084123
21,Sur,22.57,59.53,72.99,62,0,3.69,OM,1604084513
22,Provideniya,64.38,-173.3,23.92,93,98,6.58,RU,1604083951
23,Wattens,47.27,11.6,48.0,93,20,2.24,AT,1604084515
24,Polunochnoye,60.87,60.42,29.8,95,18,4.27,RU,1604084358
25,Bluff,-46.6,168.33,55.0,97,100,3.0,NZ,1604084139
26,Jamestown,42.1,-79.24,37.99,93,90,5.82,US,1604084144
27,Chui,-33.7,-53.46,60.37,70,29,11.63,UY,1604084146
28,Hamilton,39.18,-84.53,50.0,61,75,9.17,US,1604084405
29,Clyde River,70.47,-68.59,15.8,85,75,16.11,CA,1604084132
30,Iqaluit,63.75,-68.51,3.2,65,20,5.82,CA,1604084192
31,Fort Nelson,58.81,-122.7,21.2,92,90,10.29,CA,1604083944
32,Busselton,-33.65,115.33,61.0,59,0,3.04,AU,1604084130
33,Brae,60.4,-1.35,50.0,71,40,28.86,GB,1604084201
34,San Rafael,-34.62,-68.33,74.5,20,0,12.08,AR,1604084527
35,Hilo,19.73,-155.09,80.01,74,1,3.36,US,1604083856
36,Lewistown,40.6,-77.57,48.99,76,90,4.7,US,1604084530
37,Cidreira,-30.18,-50.21,65.62,62,32,9.28,BR,1604083915
38,Xai-Xai,-25.05,33.64,73.65,84,14,11.32,MZ,1604084532
39,Avilés,43.55,-5.92,61.0,82,0,2.24,ES,1604084533
40,Maïné Soroa,13.21,12.02,85.15,16,0,7.2,NE,1604084534
41,Hermanus,-34.42,19.23,54.0,77,0,11.54,ZA,1604083878
42,Margate,51.38,1.39,57.99,89,100,4.0,GB,1604083955
43,Mar del Plata,-38.0,-57.56,60.8,63,0,9.17,AR,1604084050
44,Vaini,-21.2,-175.2,71.6,68,75,8.05,TO,1604084136
45,Atuona,-9.8,-139.03,77.41,73,100,12.73,PF,1604084100
46,Port Alfred,-33.59,26.89,60.82,59,80,3.2,ZA,1604084145
47,Écija,37.54,-5.08,73.99,72,0,2.24,ES,1604084542
48,Sola,-13.88,167.55,81.27,77,98,11.43,VU,1604083911
49,Torbay,47.67,-52.73,37.0,59,75,14.99,CA,1604084199
50,Cobija,-11.03,-68.77,79.45,64,84,7.31,BO,1604084545
51,Taoudenni,22.68,-3.98,82.42,15,100,10.16,ML,1604084167
52,Manggar,-2.88,108.27,78.78,82,54,3.15,ID,1604084547
53,Castro,-24.79,-50.01,55.53,93,100,10.02,BR,1604084134
54,Port Lincoln,-34.73,135.87,56.1,84,47,10.51,AU,1604084160
55,Bahía Blanca,-38.72,-62.27,76.23,18,0,9.01,AR,1604084265
56,Tuatapere,-46.13,167.68,55.0,97,100,3.0,NZ,1604084206
57,Ponta do Sol,32.67,-17.1,69.8,77,20,16.11,PT,1604084148
58,Coahuayana Viejo,18.73,-103.68,84.2,70,75,5.08,MX,1604084095
59,Albany,42.6,-73.97,36.0,87,95,6.67,US,1604084122
60,Carnarvon,-24.87,113.63,71.6,83,90,6.93,AU,1604084153
61,Bethel,41.37,-73.41,37.4,86,90,9.17,US,1604084135
62,Upernavik,72.79,-56.15,20.88,95,95,3.31,GL,1604083901
63,Maynard,42.43,-71.45,30.99,92,90,10.29,US,1604084448
64,San Patricio,28.02,-97.52,69.01,45,20,11.41,US,1604084149
65,Ahipara,-35.17,173.17,64.13,89,15,9.37,NZ,1604084131
66,Coyhaique,-45.58,-72.07,69.8,37,0,5.82,CL,1604084163
67,Suamico,44.63,-88.04,36.0,47,75,10.29,US,1604084564
68,Fort Walton Beach,30.41,-86.62,66.2,59,1,11.41,US,1604084565
69,Klaksvík,62.23,-6.59,46.4,87,3,26.4,FO,1604084155
70,Jonuta,18.08,-92.13,73.4,94,75,9.17,MX,1604084567
71,Kapaa,22.08,-159.32,73.99,83,40,6.93,US,1604084132
72,Darnah,32.77,22.64,69.46,67,5,15.05,LY,1604084552
73,Cairns,-16.92,145.77,75.2,88,90,1.12,AU,1604083861
74,Pandan,14.05,124.17,81.14,78,100,17.43,PH,1604084572
75,Lutz,28.15,-82.46,78.8,36,1,6.93,US,1604084573
76,Swan Hill,-35.34,143.55,52.56,89,0,10.13,AU,1604084574
77,São Filipe,14.9,-24.5,83.05,55,69,17.2,CV,1604084165
78,Ostrovnoy,68.05,39.51,34.66,88,92,19.62,RU,1604083960
79,Yangambi,0.81,24.43,70.92,97,98,2.68,CD,1604084578
80,Mogadishu,2.04,45.34,79.97,80,0,12.86,SO,1604084579
81,Lebu,-37.62,-73.65,59.04,67,0,12.57,CL,1604084145
82,Severo-Kuril'sk,50.68,156.12,42.51,89,100,29.17,RU,1604084139
83,Mountain Home,43.13,-115.69,59.0,26,1,14.99,US,1604084582
84,Andenes,69.31,16.12,35.6,64,0,16.11,NO,1604084207
85,Atasū,48.68,71.64,33.17,85,0,3.56,KZ,1604084585
86,Yashkino,55.87,85.43,32.0,98,75,8.95,RU,1604084586
87,Ribeira Grande,38.52,-28.7,69.8,94,75,17.22,PT,1604083875
88,San Quintín,30.48,-115.95,74.88,35,100,7.45,MX,1604084192
89,Lüderitz,-26.65,15.16,62.15,51,100,29.68,NA,1604084132
90,Sulangan,11.14,123.72,83.57,79,100,21.74,PH,1604084590
91,Colares,38.8,-9.45,66.99,72,0,4.7,PT,1604084592
92,Tasiilaq,65.61,-37.64,32.0,97,75,3.36,GL,1604083874
93,Aswān,24.09,32.91,83.8,15,0,7.16,EG,1604084594
94,Mersing,2.43,103.84,75.2,94,100,4.7,MY,1604084595
95,Oussouye,12.48,-16.55,89.6,84,0,2.24,SN,1604084185
96,Naze,28.37,129.48,73.4,60,40,19.46,JP,1604084597
97,Qaanaaq,77.48,-69.36,14.9,83,99,5.95,GL,1604084140
98,Vitim,59.45,112.56,20.23,96,100,1.68,RU,1604084599
99,Dikson,73.51,80.55,12.69,95,100,28.77,RU,1604083902
100,Fortuna,40.6,-124.16,55.4,66,1,6.93,US,1604084193
101,Hobyo,5.35,48.53,81.21,78,46,12.95,SO,1604084172
102,Xiangxiang,27.73,112.53,57.56,91,85,2.95,CN,1604084604
103,Cherskiy,68.75,161.3,4.77,91,100,5.21,RU,1604083915
104,Tevaitoa,-16.78,-151.5,79.88,76,0,12.73,PF,1604084606
105,Quatre Cocos,-20.21,57.76,69.8,52,40,13.87,MU,1604084607
106,Turaif,31.67,38.66,69.8,21,0,9.17,SA,1604084608
107,Egvekinot,66.32,-179.17,12.74,84,51,8.19,RU,1604084008
108,Arraial do Cabo,-22.97,-42.03,77.0,88,75,9.17,BR,1604084132
